station,network,st_lat,st_lon,st_ele,mean_SNR_0,n_data,dt,phi,dt_error,phi_error,SC_fast,SC_lag,CC_fast,CC_lag
BEHE,HU,46.4703,16.7755,303.0,3.58938598134,92,1.15225436421,42.518110372,0.0100819115216,0.145568555443,142.7,1.08,25.2,0.79
A148A,Z3,48.478,12.4605,492.0,2.65878004258,20,1.10879473349,109.794250513,0.0127475257736,0.384844889248,46.7,1.21,85.6,1.62
VINO,NI,46.25383,13.2755,608.0,3.80761200103,90,0.948099397043,108.652775474,0.00445818762015,0.212675216555,58.6,1.65,84.05,1.25
A216A,Z3,44.4291,5.54989,1245.0,5.00247682398,70,1.89179776803,132.219952439,0.139228060394,1.81433501893,91.7,2.92,63.7,2.87
A206A,Z3,43.2197,6.601,363.0,4.72485528144,104,0.787943079012,98.9445858974,0.324556676261,18.5444534177,85.8,2.67,68.0,2.88
GRB2,GR,49.270925,11.669966,552.0,3.80905513892,20,1.71077504479,75.8625371328,0.10911914484,2.10685905142,105.6,1.67,92.4,1.48
GRC2,GR,48.867567,11.375543,445.0,3.72236339138,15,1.50205879908,39.1402938896,0.019833108894,0.443321676506,89.5,2.91,85.7,2.91
A105A,Z3,47.406962,10.293358,890.0,8.49557620893,35,1.38921842654,55.3363655646,0.0534807043644,1.18162573853,169.3,0.53,8.2,1.53
GRA2,GR,49.655208,11.359444,512.0,6.69075117548,20,2.30604576692,27.1266928379,0.0318738151439,0.208088790581,41.8,0.61,68.05,0.65
SENIN,CH,46.36335,7.29938,2019.6,10.6361493522,5,1.3461521193,38.4022283283,0.00275626350312,0.445312132,11.7,3.05,53.9,0.39
RSP,GU,45.14817,7.26533,1285.0,4.35983764944,5,,,,,,,,
GRC3,GR,48.890174,11.585822,438.0,2.59538040249,25,0.985965448743,63.8688272103,0.256314384313,4.37307472984,154.2,0.53,114.6,0.34
A262A,Z3,46.86419,16.52761,240.0,4.95270658659,95,3.0,53.583312152,0.938397329651,2.64050426504,172.2,1.65,8.05,1.65
LSD,GU,45.4595,7.13433,2285.0,2.12055750395,10,1.54021618209,175.174058249,0.00224810590205,0.296488759904,124.1,2.99,146.5,1.59
A318A,Z3,43.120987,10.573185,173.0,3.82468823591,150,0.838384075378,119.483160501,0.258423884771,7.79015043338,128.3,1.92,128.8,0.72
A261A,Z3,46.95204,17.14856,171.0,3.46884057886,102,2.99999999999,10.7186603029,0.133141675975,0.216979113328,91.4,2.95,93.2,2.45
A264A,Z3,46.15967,17.28968,143.0,4.28653476954,100,1.16690673484,94.5276217433,0.0586720938683,1.38108627683,0.05,0.05,0.05,0.05
A273A,Z3,45.916386,17.81597,151.0,249.774980973,80,0.884910138562,116.497675918,0.0235233838504,1.43248667187,146.6,2.93,133.7,0.82
A123A,Z3,48.61153,7.89096,136.0,2.80743856979,85,1.42008453751,60.7689738652,0.0190476995151,0.439610798378,80.1,2.77,67.7,1.92
POLC,NI,46.0266,12.5005,150.0,2.1698472684,96,0.302152664813,67.616640044,0.475122854734,44.539902505,136.8,1.81,150.7,1.99
CLUD,OX,46.4569,12.8814,635.0,3.81422215649,95,1.57436757655,74.6452687593,0.139006402066,2.66597470706,101.7,2.3,52.4,1.9
GEPF,RF,46.275,13.1386,255.0,1.75115057163,89,1.73719780297,109.303524045,0.316960795177,5.48919835466,159.9,2.55,96.8,2.9
CIMO,OX,46.3116,12.4448,710.0,2.99346840167,110,1.31950595623,67.1648178374,0.0449758356257,0.841333983674,14.5,2.69,20.8,1.44
A124A,Z3,48.65387,8.4941,841.0,2.26189041354,80,1.18503555313,65.2318063967,0.157578313979,6.68688095783,6.9,2.0,78.0,0.67
A272A,Z3,46.744449,18.965496,174.0,4.04128321115,59,0.398038473903,139.949631405,0.36425859317,23.9964505672,144.7,1.57,111.9,0.34
A317A,Z3,43.049999,9.842445,35.0,4.1619237783,140,2.12085891978,88.4906762283,0.0799415091647,1.35183810536,149.2,1.8,146.3,1.44
A185A,Z3,45.1209,5.0728,420.0,3.30642118871,45,2.1585999351,154.604875639,0.0863277130007,0.413671855028,72.2,2.86,117.2,0.26
MPRI,OX,46.2408,12.9877,762.0,3.95269968775,130,0.926280153517,74.5199074725,0.0551716810955,1.84051248577,81.4,2.87,114.5,2.29
ZOU2,OX,46.5584,12.9729,1911.0,2.68315270574,90,1.33281745237,79.3276322074,0.0548951648256,1.60680533279,45.5,2.91,47.5,1.35
WILA,CH,47.41465,8.90753,908.0,5.55349319448,20,1.66638946524,53.4977336141,0.106639861148,1.66924612578,8.7,2.89,60.4,2.88
