CC_fast,CC_lag,SC_fast,SC_lag,dt,dt_error,mean_SNR_0,n_data,network,phi,phi_error,st_ele,st_lat,st_lon,station
28.0,0.93,167.5,1.35,1.10418543082,0.172913589094,10.2582349393,165,OE,65.6808797115,4.02353816902,965.0,47.4871,10.7623,RETA
112.5,0.63,144.2,0.66,1.05656235919,0.104988219303,10.7603284326,126,Z3,121.461394707,11.8228904194,403.0,48.9434,15.7007,A084A
16.3,0.62,26.7,1.7,1.37721862934,0.10120604352,7.88803268971,203,OE,55.2879765983,2.59476322623,1307.0,47.2205,11.2087,SQTA
29.7,1.93,24.5,1.98,0.395539696154,0.440972547936,5.86509813156,236,OE,108.525852084,114.07443478,577.0,47.2505,15.5232,ARSA
132.05,1.25,168.05,3.05,1.78826733584,0.0181392150096,24.2422851517,112,Z3,126.770019203,0.0839062761874,188.0,47.962876,16.397063,A004A
101.7,1.11,135.0,1.39,2.59945315487,0.16707534009,7.1631969089,142,OE,78.8203826671,0.781875555692,572.0,47.8495,14.2659,MOA
0.05,0.05,0.05,0.05,1.41413847674,0.0171853573058,36.1918226245,125,Z3,148.003844916,0.492369919925,573.0,49.6959,15.6077,A083A
75.4,2.91,84.9,1.96,1.43934560226,0.0843967212483,7.65776169932,160,Z3,101.150244769,2.57935894077,265.0,46.756569,15.825348,A021A
109.2,1.41,159.3,1.47,1.38717977596,0.00457204614307,6.68095366449,52,Z3,124.688100588,0.19989327131,162.0,48.317533,16.615229,A002A
28.1,0.72,20.4,0.72,1.56356847494,0.189776060816,5.96490605094,168,OE,70.2438928698,2.18114340005,1764.0,47.2638,11.6363,WTTA
40.2,1.18,8.9,1.27,1.52109868048,0.119105303212,9.72746144548,170,OE,56.7351319386,2.5416824551,1492.0,47.3357,11.5763,WATA
48.2,1.77,24.3,2.01,1.98382529843,0.0812713390804,8.52566375676,232,Z3,54.7317700507,1.57302731489,2020.0,47.070347,10.264323,A037A
117.0,1.03,151.9,0.91,1.29042422881,0.0640277736982,12.184777639,152,Z3,125.546803224,2.99228574793,263.0,49.1521,17.092,A089A
91.2,1.77,102.0,1.3,1.30460832442,0.0650330529773,7.72776924439,190,Z3,87.8049699193,2.16180806387,640.0,47.8277,13.5612,A030A
